id_product;name;reference;ean13;price;wholesale_price;active;supp;sav_quantity;badge_danger;
"1960";"Poires William cagette de 4.3 kg  Démarche éco responsable";"FP-MN-KMN-NO";"";"8.170000";"6.110000";"0";"Echange Paysan 05 - F&L";"0";"1";
"1961";"Mojito - Citron Citron Vert Menthe 75cl";"DJ-RO-UUN-NN-P";"3289196100566";"2.850000";"2.270000";"1";"Jardin Bio";"13";"0";
"1962";"Planteur - Orange Ananas Mangue  75cl";"DJ-RO-UUN-NN-P";"3289196100627";"2.850000";"2.270000";"1";"Jardin Bio";"5";"0";
"1963";"Pina Colada - Ananas, Banane, Coco  75cl";"DJ-RO-UUN-NN-P";"3289196100269";"4.850000";"3.870000";"1";"Jardin Bio";"19";"0";
"1964";"Spaghetti brindilles semi-complets express 3 min 500g";"SP-RO-UUN-NN-P";"3456300009682";"1.950000";"1.550000";"1";"Jardin Bio";"5";"0";
"1965";"Thé noir Noël Alsacien pq de 100 g";"DT-RN-UUN-NN-N";"";"6.250000";"5.000000";"1";"Joséphine Tea Time";"1";"0";
"1966";"Thé vert Bouddha Spirit pq de 100 g";"DT-RN-UUN-NN-N";"";"6.250000";"5.000000";"0";"Joséphine Tea Time";"0";"1";
"1967";"Panier en osier à garnir anses bois";"MX-RO-UUN-NN-P";"";"6.000000";"4.780000";"1";"Coop La Meute";"2";"0";
"1968";"Champsoleil creme de courgette fleur de Nice 100g";"SR-RO-UUN-NN-P";"3847800001397";"3.500000";"2.800000";"1";"Epice Scop";"5";"0";
"1969";"Champsoleil Crème de poivrons aux amandes  100g";"SR-RO-UUN-NN-P";"3847800000888";"3.500000";"2.800000";"1";"Epice Scop";"9";"0";
"1970";"Champsoleil Crème de potiron à l'ail des ours - 100g";"SR-RO-UUN-NN-P";"3847800001380";"3.500000";"2.800000";"1";"Epice Scop";"14";"0";
"1971";"Lentilles vertes 500g Mabille";"SR-RO-UUN-NN-P";"";"3.350000";"2.670000";"1";"Epice Scop";"7";"0";
